--- Enter port index or full name: Serial started.
INA219 Shunt Resistor (ohms): 0.10
setup() complete

Starting test_current_at_each_r2r_value()

r2r_value,bus_voltage_V,current_mA,shunt_voltage_mV,shunt_adc
200,9.192,-0.61,655.3000,3
200,9.208,-0.61,655.2900,3
200,9.312,-0.31,655.2800,3
200,9.280,-0.40,655.3200,3
200,9.264,-0.40,655.3300,3
200,9.108,-0.79,655.2800,3
200,9.196,-0.40,655.3200,3
200,9.188,-0.40,655.2900,3
200,9.324,-0.70,655.3200,3
200,9.260,-0.70,655.2900,3
202,9.200,-0.49,655.3100,3
202,9.188,-0.40,655.2900,3
202,9.320,-0.49,655.3100,3
202,9.024,-0.31,655.3300,3
202,9.252,-0.49,655.3100,3
202,9.116,-0.40,655.3100,3
202,9.360,-0.49,655.3300,3
202,9.212,-0.79,655.2800,3
202,9.300,-0.70,655.3200,3
202,9.040,-0.49,655.3300,3
204,9.344,-0.61,655.2700,3
204,9.228,-0.31,655.3300,3
204,9.284,-0.40,655.3200,3
204,9.048,-0.70,655.2900,3
204,9.388,-0.70,655.3300,3
204,9.144,-0.79,655.2800,3
204,9.340,-0.79,655.3500,3
204,8.960,-0.49,655.3300,3
204,9.292,-0.61,655.3000,3
204,9.056,-0.49,655.3100,3
206,9.336,-0.61,655.3100,3
206,8.960,-0.31,655.3500,3
206,9.284,-0.31,655.3300,3
206,9.060,-0.49,655.3200,3
206,9.380,-0.49,655.3400,3
206,8.896,-0.40,655.3200,3
206,9.336,-0.49,655.3100,3
206,8.976,-0.40,655.3200,3
206,9.408,-0.40,655.3200,3
206,9.056,-0.40,655.3200,3
208,9.328,-0.40,655.3200,3
208,8.968,-0.40,655.3300,3
208,9.412,-0.21,655.3300,3
208,9.032,-0.40,655.3200,3
208,9.384,-0.40,655.3200,3
208,8.900,-0.40,655.3300,3
208,9.352,-0.49,655.3100,3
208,8.920,-0.49,655.3300,3
208,9.424,-0.31,655.3400,3
208,9.000,-0.31,655.3300,3
210,9.356,-0.40,655.3200,3
210,8.912,-0.21,655.3400,3
210,9.420,-0.31,655.3300,3
210,9.004,-0.40,655.3200,3
210,9.388,-0.40,655.3200,3
210,8.876,-0.40,655.3400,3
210,9.436,-0.40,655.3300,3
210,8.936,-0.49,655.3100,3
210,9.420,-0.31,655.3300,3
210,8.900,-0.40,655.3200,3
212,9.436,-0.09,655.3400,3
212,8.932,-0.09,655.3500,3
212,9.412,-0.21,655.3300,3
212,8.888,-0.40,655.3200,3
212,9.392,-0.31,655.3300,3
212,8.888,-0.21,655.3400,3
212,9.436,-0.31,655.3300,3
212,8.952,-0.49,655.3100,3
212,9.420,-0.31,655.3300,3
212,8.924,-0.31,655.3100,3
214,9.428,-0.40,0.0100,3
214,8.944,-0.09,655.3400,3
214,9.412,-0.09,655.3500,3
214,8.912,0.00,0.0000,3
214,9.436,-0.21,655.3300,3
214,8.984,-0.31,655.3300,3
214,9.428,-0.31,655.3300,3
214,8.956,-0.31,655.3300,3
214,9.432,-0.40,655.3500,3
214,9.020,-0.31,655.3500,3
216,9.416,-0.09,0.0000,3
216,8.940,-0.09,655.3500,3
216,9.428,0.00,0.0100,3
216,9.012,-0.31,655.3500,3
216,9.372,-0.09,0.0100,3
216,9.000,-0.09,655.3500,3
216,9.400,0.00,0.0200,3
216,9.064,0.09,0.0000,3
216,9.304,-0.21,0.0000,3
216,9.188,-0.31,655.3500,3
218,9.220,-0.21,655.3500,3
218,9.068,-0.31,655.3300,3
218,9.288,-0.21,0.0100,3
218,9.192,0.09,0.0100,3
218,9.128,0.00,0.0000,3
218,9.124,0.09,0.0100,3
218,9.208,0.00,0.0000,3
218,9.256,0.00,0.0000,3
218,9.028,0.21,655.3500,3
218,9.356,-0.09,655.3500,3
220,8.908,0.31,0.0300,3
220,9.384,0.31,0.0300,3
220,9.000,0.21,0.0200,3
220,9.356,0.40,0.0400,3
220,8.824,-0.09,0.0400,3
220,9.412,0.09,0.0300,3
220,8.932,0.09,0.0400,3
220,9.412,0.09,0.0100,3
220,8.856,0.49,0.0500,3
220,9.420,0.31,0.0300,3
222,8.924,0.09,0.0100,3
222,9.404,0.49,0.0700,3
222,8.996,0.49,0.0200,3
222,9.344,0.49,0.0400,3
222,8.976,0.40,0.0400,3
222,9.376,0.31,0.0300,3
222,9.044,0.31,0.0300,3
222,9.276,0.21,0.0300,3
222,9.168,0.61,0.0400,3
222,9.108,0.31,0.0300,3
224,9.228,0.31,0.0500,3
224,9.240,0.70,0.0700,3
224,9.196,0.49,0.0500,3
224,9.040,0.70,0.0600,3
224,9.320,0.61,0.0500,3
224,9.092,0.70,0.0700,3
224,9.292,0.49,0.0500,3
224,8.876,0.61,0.0300,3
224,9.380,0.49,0.0600,3
224,8.832,0.61,0.0600,3
226,9.400,0.49,0.0700,3
226,8.828,0.70,0.0700,3
226,9.388,0.79,0.0800,3
226,8.852,0.61,0.0600,3
226,9.400,0.61,0.0700,3
226,8.976,0.61,0.0500,3
226,9.352,0.89,0.0700,3
226,8.924,0.61,0.0600,3
226,9.384,0.49,0.0500,3
226,9.032,0.79,0.0600,3
228,9.332,0.89,0.0700,3
228,9.052,1.10,0.1000,3
228,9.200,1.01,0.0800,3
228,9.196,0.79,0.0800,3
