time	V(vdrain)	Ix(x1:NEG)
0.000000000000000e+00	0.000000e+00	1.800000e-01
3.763168177434379e-01	1.655794e-01	1.800001e-01
7.526336354868759e-01	3.311588e-01	1.800001e-01
1.128950453230314e+00	4.967382e-01	1.800001e-01
1.505267270973752e+00	6.623176e-01	1.800000e-01
1.881584088717190e+00	8.278970e-01	1.799998e-01
2.257900906460628e+00	9.934764e-01	1.799996e-01
2.634217724204065e+00	1.159056e+00	1.799993e-01
2.819932009918351e+00	1.240770e+00	1.801196e-01
3.005646295632637e+00	1.322484e+00	1.801497e-01
3.191360581346923e+00	1.404199e+00	1.800893e-01
3.377074867061209e+00	1.485913e+00	1.799387e-01
3.562789152775494e+00	1.567627e+00	1.796978e-01
3.748503438489780e+00	1.649342e+00	1.793665e-01
3.934217724204066e+00	1.731056e+00	1.789449e-01
4.134217724204065e+00	1.819056e+00	1.767525e-01
4.234217724204065e+00	1.863056e+00	1.743356e-01
4.334217724204064e+00	1.907056e+00	1.701947e-01
4.434217724204064e+00	1.951056e+00	1.632330e-01
4.534217724204064e+00	1.995056e+00	1.518619e-01
4.634217724204063e+00	2.039056e+00	1.340296e-01
4.734217724204063e+00	2.083056e+00	1.074880e-01
4.834217724204063e+00	2.127056e+00	7.029364e-02
4.934217724204062e+00	2.171056e+00	2.234215e-02
5.000000000000000e+00	2.200000e+00	-1.450560e-02
5.000726566457409e+00	2.040155e+00	9.286879e-02
5.002179699372228e+00	1.720466e+00	1.648048e-01
5.005085965201865e+00	1.081088e+00	1.797592e-01
5.008867206167074e+00	2.492146e-01	1.800000e-01
5.010000000000000e+00	0.000000e+00	1.800000e-01
5.010009017775885e+00	3.975773e-06	1.800000e-01
5.010027053327655e+00	1.192732e-05	1.800000e-01
5.388271506041415e+00	1.667730e-01	1.800001e-01
5.766515958755177e+00	3.335341e-01	1.800001e-01
6.144760411468937e+00	5.002952e-01	1.800001e-01
6.523004864182697e+00	6.670563e-01	1.800000e-01
6.901249316896457e+00	8.338173e-01	1.799998e-01
7.279493769610219e+00	1.000578e+00	1.799996e-01
7.657738222323978e+00	1.167339e+00	1.799992e-01
7.843452508038263e+00	1.249217e+00	1.801352e-01
8.029166793752548e+00	1.331096e+00	1.801692e-01
8.214881079466833e+00	1.412974e+00	1.801012e-01
8.400595365181118e+00	1.494852e+00	1.799312e-01
8.586309650895403e+00	1.576730e+00	1.796591e-01
8.772023936609688e+00	1.658608e+00	1.792850e-01
8.957738222323973e+00	1.740486e+00	1.788090e-01
9.157738222323973e+00	1.828662e+00	1.763303e-01
9.257738222323972e+00	1.872750e+00	1.736008e-01
9.357738222323972e+00	1.916839e+00	1.689356e-01
9.457738222323972e+00	1.960927e+00	1.611274e-01
9.557738222323971e+00	2.005015e+00	1.484647e-01
9.657738222323971e+00	2.049103e+00	1.288060e-01
9.757738222323971e+00	2.093191e+00	9.991048e-02
9.857738222323970e+00	2.137279e+00	5.997276e-02
9.957738222323970e+00	2.181368e+00	9.812544e-03
1.000000000000000e+01	2.200000e+00	-1.450560e-02
