time	V(tianoninv)	I(Rf)	Ix(U2:OUT)
0.000000000000000e+00	7.891934e+00	1.578387e-03	-1.815784e-01
9.999999717180685e-10	7.891934e+00	1.578387e-03	-1.815776e-01
1.999999943436137e-09	7.891934e+00	1.578387e-03	-1.815774e-01
3.999999886872274e-09	7.891934e+00	1.578387e-03	-1.815776e-01
7.999999773744548e-09	7.891934e+00	1.578387e-03	-1.815782e-01
1.599999954748910e-08	7.891934e+00	1.578387e-03	-1.815786e-01
3.199999909497819e-08	7.891934e+00	1.578387e-03	-1.815785e-01
6.399999818995639e-08	7.891934e+00	1.578387e-03	-1.815785e-01
2.559999927598255e-07	7.891934e+00	1.578387e-03	-1.815784e-01
1.023999971039302e-06	7.891932e+00	1.578387e-03	-1.815784e-01
2.047999942078604e-06	7.891930e+00	1.578387e-03	-1.815784e-01
4.095999884157209e-06	7.891926e+00	1.578386e-03	-1.815784e-01
8.191999768314417e-06	7.891918e+00	1.578384e-03	-1.815784e-01
1.638399953662883e-05	7.891901e+00	1.578381e-03	-1.815784e-01
6.553599814651534e-05	7.891804e+00	1.578361e-03	-1.815784e-01
2.621439925860614e-04	7.891414e+00	1.578283e-03	-1.815783e-01
5.242879851721227e-04	7.890893e+00	1.578179e-03	-1.815782e-01
2.097151940688491e-03	7.887769e+00	1.577554e-03	-1.815776e-01
8.388607762753963e-03	7.875282e+00	1.575057e-03	-1.815751e-01
1.677721552550793e-02	7.858649e+00	1.571730e-03	-1.815718e-01
2.654284052550793e-02	7.839306e+00	1.567862e-03	-1.815679e-01
3.630846552550793e-02	7.819988e+00	1.563998e-03	-1.815640e-01
4.467900123979365e-02	7.803449e+00	1.560691e-03	-1.815607e-01
5.304953695407937e-02	7.786928e+00	1.557386e-03	-1.815574e-01
6.142007266836508e-02	7.770426e+00	1.554086e-03	-1.815541e-01
6.979060838265080e-02	7.753941e+00	1.550789e-03	-1.815508e-01
7.816114409693652e-02	7.737475e+00	1.547496e-03	-1.815475e-01
8.653167981122223e-02	7.721027e+00	1.544206e-03	-1.815442e-01
9.490221552550793e-02	7.704597e+00	1.540920e-03	-1.815410e-01
1.046678405255079e-01	7.685450e+00	1.537091e-03	-1.815371e-01
1.144334655255079e-01	7.666328e+00	1.533266e-03	-1.815333e-01
1.339647155255079e-01	7.628156e+00	1.525632e-03	-1.815257e-01
1.437303405255079e-01	7.609106e+00	1.521822e-03	-1.815219e-01
1.534959655255079e-01	7.590079e+00	1.518016e-03	-1.815181e-01
1.730272155255079e-01	7.552098e+00	1.510420e-03	-1.815105e-01
1.925584655255079e-01	7.514211e+00	1.502843e-03	-1.815029e-01
2.023240905255079e-01	7.495302e+00	1.499061e-03	-1.814991e-01
2.218553405255079e-01	7.457555e+00	1.491512e-03	-1.814916e-01
2.316209655255079e-01	7.438716e+00	1.487744e-03	-1.814878e-01
2.413865905255079e-01	7.419900e+00	1.483981e-03	-1.814840e-01
2.511522155255079e-01	7.401107e+00	1.480222e-03	-1.814803e-01
2.609178405255079e-01	7.382337e+00	1.476468e-03	-1.814765e-01
2.706834655255079e-01	7.363589e+00	1.472719e-03	-1.814727e-01
2.804490905255079e-01	7.344865e+00	1.468973e-03	-1.814690e-01
3.097459655255079e-01	7.288825e+00	1.457766e-03	-1.814578e-01
3.292772155255079e-01	7.251577e+00	1.450316e-03	-1.814504e-01
3.390428405255079e-01	7.232986e+00	1.446598e-03	-1.814466e-01
3.488084655255079e-01	7.214418e+00	1.442884e-03	-1.814429e-01
3.683397155255079e-01	7.177347e+00	1.435470e-03	-1.814355e-01
3.808955190969365e-01	7.153562e+00	1.430713e-03	-1.814307e-01
3.934513226683651e-01	7.129812e+00	1.425963e-03	-1.814260e-01
4.060071262397936e-01	7.106098e+00	1.421220e-03	-1.814213e-01
4.185629298112222e-01	7.082420e+00	1.416485e-03	-1.814165e-01
4.311187333826508e-01	7.058777e+00	1.411756e-03	-1.814118e-01
