time	V(mosout)	V(tia)	V(tianoninv)	Ix(x1:NEG)	Ix(x1:POS)
0.000000000000000e+00	1.578392e+00	4.749190e+01	7.891934e+00	1.800000e-01	-1.800000e-01
9.999999717180685e-10	1.578392e+00	4.749190e+01	7.891934e+00	1.800000e-01	-1.800000e-01
3.999999886872274e-09	1.578392e+00	4.749190e+01	7.891934e+00	1.800000e-01	-1.800000e-01
4.195284449322155e-01	1.418139e+00	4.669063e+01	7.090671e+00	1.800000e-01	-1.800000e-01
8.390568858644311e-01	1.263633e+00	4.591811e+01	6.318143e+00	1.800000e-01	-1.800000e-01
1.258585326796647e+00	1.114874e+00	4.517431e+01	5.574350e+00	1.800000e-01	-1.800000e-01
1.678113767728862e+00	9.718616e-01	4.445925e+01	4.859291e+00	1.800000e-01	-1.800000e-01
2.097642208661078e+00	8.345964e-01	4.377293e+01	4.172968e+00	1.800000e-01	-1.800000e-01
2.517170649593294e+00	7.030782e-01	4.311534e+01	3.515379e+00	1.800000e-01	-1.800000e-01
2.936699090525508e+00	5.773070e-01	4.248649e+01	2.886525e+00	1.800000e-01	-1.800000e-01
3.224087483382651e+00	4.924421e-01	4.206216e+01	2.462202e+00	1.800000e-01	-1.800000e-01
3.511475876239794e+00	4.090215e-01	4.164506e+01	2.045101e+00	1.800000e-01	-1.800000e-01
3.798864269096937e+00	3.270454e-01	4.123518e+01	1.635222e+00	1.800000e-01	-1.800000e-01
4.086252661954080e+00	2.465137e-01	4.083253e+01	1.232565e+00	1.800000e-01	-1.800000e-01
4.373641054811223e+00	1.674265e-01	4.043709e+01	8.371298e-01	1.800000e-01	-1.800000e-01
4.661029447668366e+00	8.978364e-02	4.004888e+01	4.489169e-01	1.800000e-01	-1.800000e-01
4.948417840525508e+00	1.358523e-02	3.966788e+01	6.792602e-02	1.800000e-01	-1.800000e-01
5.000000000000000e+00	4.146603e-09	3.959996e+01	1.255885e-07	1.800000e-01	-1.800000e-01
5.000017211552323e+00	2.272580e-02	3.971317e+01	1.132788e-01	1.800000e-01	-1.800000e-01
5.000051634656969e+00	6.858307e-02	3.994224e+01	3.423834e-01	1.800000e-01	-1.800000e-01
5.000120480866260e+00	1.620533e-01	4.040957e+01	8.097223e-01	1.800000e-01	-1.800000e-01
5.000258173284842e+00	3.568819e-01	4.138369e+01	1.783838e+00	1.800000e-01	-1.800000e-01
5.000533558122006e+00	7.847890e-01	4.352314e+01	3.923301e+00	1.800000e-01	-1.800000e-01
5.001000000000000e+00	1.578354e+00	4.749077e+01	7.890965e+00	1.800000e-01	-1.800000e-01
5.001017222768110e+00	1.578372e+00	4.749149e+01	7.891575e+00	1.800000e-01	-1.800000e-01
5.001051668304328e+00	1.578372e+00	4.749179e+01	7.891831e+00	1.800000e-01	-1.800000e-01
5.001120559376764e+00	1.578344e+00	4.749166e+01	7.891695e+00	1.800000e-01	-1.800000e-01
5.001258341521636e+00	1.578290e+00	4.749138e+01	7.891421e+00	1.800000e-01	-1.800000e-01
5.420870116557910e+00	1.417980e+00	4.668984e+01	7.089878e+00	1.800000e-01	-1.800000e-01
5.840481891594184e+00	1.263421e+00	4.591705e+01	6.317085e+00	1.800000e-01	-1.800000e-01
6.260093666630457e+00	1.114613e+00	4.517301e+01	5.573044e+00	1.800000e-01	-1.800000e-01
6.679705441666732e+00	9.715540e-01	4.445772e+01	4.857754e+00	1.800000e-01	-1.800000e-01
7.099317216703005e+00	8.342456e-01	4.377118e+01	4.171214e+00	1.800000e-01	-1.800000e-01
7.518928991739279e+00	7.026875e-01	4.311339e+01	3.513425e+00	1.800000e-01	-1.800000e-01
7.938540766775552e+00	5.768796e-01	4.248435e+01	2.884388e+00	1.800000e-01	-1.800000e-01
8.177101034632695e+00	5.062557e-01	4.213123e+01	2.531270e+00	1.800000e-01	-1.800000e-01
8.415661302489838e+00	4.366604e-01	4.178326e+01	2.183295e+00	1.800000e-01	-1.800000e-01
8.654221570346982e+00	3.680937e-01	4.144042e+01	1.840462e+00	1.800000e-01	-1.800000e-01
8.892781838204124e+00	3.005555e-01	4.110273e+01	1.502772e+00	1.800000e-01	-1.800000e-01
9.131342106061268e+00	2.340458e-01	4.077019e+01	1.170225e+00	1.800000e-01	-1.800000e-01
9.369902373918411e+00	1.685647e-01	4.044278e+01	8.428208e-01	1.800000e-01	-1.800000e-01
9.608462641775553e+00	1.041122e-01	4.012052e+01	5.205591e-01	1.800000e-01	-1.800000e-01
9.618228266775553e+00	1.014876e-01	4.010740e+01	5.074363e-01	1.800000e-01	-1.800000e-01
9.671241659632695e+00	8.726628e-02	4.003629e+01	4.363300e-01	1.800000e-01	-1.800000e-01
9.724255052489839e+00	7.308648e-02	3.996539e+01	3.654313e-01	1.800000e-01	-1.800000e-01
9.777268445346982e+00	5.894818e-02	3.989470e+01	2.947400e-01	1.800000e-01	-1.800000e-01
9.830281838204124e+00	4.485137e-02	3.982422e+01	2.242562e-01	1.800000e-01	-1.800000e-01
9.883295231061268e+00	3.079607e-02	3.975394e+01	1.539800e-01	1.800000e-01	-1.800000e-01
9.936308623918411e+00	1.678228e-02	3.968387e+01	8.391120e-02	1.800000e-01	-1.800000e-01
9.989322016775553e+00	2.809979e-03	3.961401e+01	1.404995e-02	1.800000e-01	-1.800000e-01
9.999087641775553e+00	2.400357e-04	3.960116e+01	1.200280e-03	1.800000e-01	-1.800000e-01
1.000000000000000e+01	-2.422058e-08	3.959996e+01	-4.313987e-06	1.800000e-01	-1.800000e-01
