time	V(n003)	I(R1)
0.000000000000000e+00	7.891928e+00	7.891928e-02
4.191739606005809e-01	7.091508e+00	7.091508e-02
8.383479212011617e-01	6.319731e+00	6.319731e-02
1.257521881801743e+00	5.576598e+00	5.576598e-02
1.676695842402323e+00	4.862108e+00	4.862108e-02
2.095869803002905e+00	4.176262e+00	4.176262e-02
2.515043763603485e+00	3.519060e+00	3.519060e-02
2.934217724204065e+00	2.890501e+00	2.890501e-02
3.219932009918351e+00	2.468535e+00	2.468535e-02
3.505646295632636e+00	2.053713e+00	2.053713e-02
3.791360581346921e+00	1.646036e+00	1.646036e-02
4.077074867061206e+00	1.245504e+00	1.245504e-02
4.362789152775492e+00	8.521167e-01	8.521167e-03
4.648503438489778e+00	4.658738e-01	4.658738e-03
4.934217724204062e+00	8.677546e-02	8.677546e-04
5.000000000000000e+00	1.250554e-07	1.250554e-09
5.000100000000000e+00	6.763076e-01	6.763075e-03
5.000300000000000e+00	2.111858e+00	2.111858e-02
5.000700000000000e+00	5.275830e+00	5.275830e-02
5.001000000000000e+00	7.890941e+00	7.890941e-02
5.001012166271187e+00	7.891572e+00	7.891573e-02
5.001036498813561e+00	7.891855e+00	7.891855e-02
5.415219859104853e+00	7.100409e+00	7.100409e-02
5.829403219396143e+00	6.337066e+00	6.337066e-02
6.243586579687435e+00	5.601826e+00	5.601826e-02
6.657769939978725e+00	4.894689e+00	4.894689e-02
7.071953300270017e+00	4.215655e+00	4.215654e-02
7.486136660561307e+00	3.564724e+00	3.564723e-02
7.900320020852598e+00	2.941895e+00	2.941895e-02
8.171748592281169e+00	2.539684e+00	2.539684e-02
8.443177163709739e+00	2.144037e+00	2.144037e-02
8.714605735138310e+00	1.754952e+00	1.754952e-02
8.986034306566880e+00	1.372431e+00	1.372431e-02
9.257462877995451e+00	9.964736e-01	9.964736e-03
9.528891449424021e+00	6.270795e-01	6.270795e-03
9.800320020852592e+00	2.642487e-01	2.642487e-03
9.900320020852591e+00	1.316396e-01	1.316397e-03
1.000000000000000e+01	6.561525e-06	6.561525e-08
