time	V(tianoninv)	I(R4)
0.000000000000000e+00	7.891934e+00	7.006309e+00
9.999999717180685e-10	7.891934e+00	7.006309e+00
3.999999886872274e-09	7.891934e+00	7.006309e+00
3.958119270750726e-01	7.134091e+00	6.251316e+00
7.916238501501454e-01	6.402404e+00	5.522967e+00
1.187435773225218e+00	5.696872e+00	4.821262e+00
1.583247696300291e+00	5.017495e+00	4.146201e+00
1.979059619375364e+00	4.364273e+00	3.497785e+00
2.374871542450436e+00	3.737207e+00	2.876013e+00
2.770683465525508e+00	3.136296e+00	2.280886e+00
2.957625429811222e+00	2.855607e+00	2.002554e+00
3.144567394096937e+00	2.578309e+00	1.728940e+00
3.331509358382651e+00	2.304401e+00	1.460044e+00
3.518451322668366e+00	2.033885e+00	1.195866e+00
3.705393286954080e+00	1.766759e+00	9.364057e-01
3.892335251239794e+00	1.503024e+00	6.816635e-01
4.079277215525508e+00	1.242680e+00	4.316391e-01
4.109969179811222e+00	1.200169e+00	3.914875e-01
4.140661144096937e+00	1.157736e+00	3.519236e-01
4.171353108382651e+00	1.115381e+00	3.129475e-01
4.202045072668365e+00	1.073104e+00	2.745591e-01
4.232737036954079e+00	1.030905e+00	2.367584e-01
4.263429001239794e+00	9.887840e-01	1.995455e-01
4.294120965525508e+00	9.467411e-01	1.629202e-01
4.323417840525508e+00	9.066794e-01	1.296360e-01
4.342949090525508e+00	8.800101e-01	1.084407e-01
4.362480340525508e+00	8.533714e-01	8.834424e-02
4.372245965525508e+00	8.400636e-01	7.882644e-02
4.382011590525508e+00	8.267633e-01	6.974636e-02
4.391777215525508e+00	8.134707e-01	6.118309e-02
4.401542840525508e+00	8.001856e-01	5.322932e-02
4.411308465525508e+00	7.869081e-01	4.598886e-02
4.421074090525508e+00	7.736382e-01	3.956895e-02
4.430839715525508e+00	7.603759e-01	3.406474e-02
4.440605340525508e+00	7.471211e-01	2.953621e-02
4.450370965525508e+00	7.338737e-01	2.598392e-02
4.460136590525508e+00	7.206340e-01	2.333651e-02
4.469902215525508e+00	7.074016e-01	2.146053e-02
4.479667840525508e+00	6.941769e-01	2.019014e-02
4.489433465525508e+00	6.809595e-01	1.936130e-02
4.499199090525508e+00	6.677496e-01	1.883558e-02
4.508964715525508e+00	6.545472e-01	1.850867e-02
4.518730340525508e+00	6.413521e-01	1.830807e-02
4.528495965525508e+00	6.281645e-01	1.818599e-02
4.538261590525508e+00	6.149843e-01	1.811209e-02
4.548027215525508e+00	6.018115e-01	1.806748e-02
4.557792840525508e+00	5.886461e-01	1.804061e-02
4.567558465525508e+00	5.754880e-01	1.802443e-02
4.577324090525508e+00	5.623373e-01	1.801470e-02
4.587089715525508e+00	5.491939e-01	1.800884e-02
4.596855340525508e+00	5.360578e-01	1.800532e-02
4.606620965525508e+00	5.229290e-01	1.800320e-02
4.616386590525508e+00	5.098075e-01	1.800193e-02
4.626152215525508e+00	4.966933e-01	1.800116e-02
4.635917840525508e+00	4.835864e-01	1.800070e-02
4.645683465525508e+00	4.704867e-01	1.800042e-02
4.655449090525508e+00	4.573942e-01	1.800025e-02
4.665214715525508e+00	4.443091e-01	1.800015e-02
4.674980340525508e+00	4.312311e-01	1.800009e-02
4.684745965525508e+00	4.181603e-01	1.800006e-02
4.694511590525508e+00	4.050967e-01	1.800003e-02
4.704277215525508e+00	3.920403e-01	1.800002e-02
4.714042840525508e+00	3.789910e-01	1.800001e-02
4.733574090525508e+00	3.529139e-01	1.800000e-02
4.751710251239794e+00	3.287253e-01	1.800000e-02
4.769846411954079e+00	3.045609e-01	1.800000e-02
4.787982572668365e+00	2.804208e-01	1.800000e-02
